Startup,Industry,SubVertical,City,Investors,InvestmentType,amount(cr.),Date
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,1.233,2023-10-31
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,0.558,2024-09-05
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,0.603,2023-10-16
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,81.333,2022-10-05
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,17.982,2024-06-24
AeroAnalytics,Enterprise,Automation,Delhi,"Falcon Edge, Sequoia Capital India, SoftBank Vision Fund",Series A,133.776,2020-09-03
FarmTech,E-commerce,D2C,Pune,A91 Partners,Series A,40.5,2021-06-15
FinSpace,AgriTech,Smart Farming,Pune,Kalaari Capital,Seed,7.677,2022-05-18
NimbusWorks,FoodTech,Food Delivery,Kolkata,"Prosus Ventures, Zodius Capital",Seed,14.679,2020-09-25
SkillFlow,Mobility,EV,Chennai,"Bessemer Venture Partners, Blume Ventures, Nexus Venture Partners",Seed,10.341,2024-06-26
Chargebee,HealthTech,Pharmacy,Kolkata,"Accel, Tiger Global",Seed,1.125,2023-02-25
BharatPe,FinTech,Lending,Hyderabad,Info Edge,Series A,30.492,2023-07-13
WorkStack,SaaS,HRTech,Pune,IFC,Pre-Seed,0.243,2020-09-05
BlueRise,RealEstate,Rental Tech,Noida,Y Combinator,Seed,15.192,2024-05-17
Myntra,Retail,Fashion,Kolkata,"Elevation Capital, Ribbit Capital",Private Equity,3634.272,2022-02-19
GreenConnect,RealEstate,Home Services,Chennai,"IFC, Tiger Global",Series B,84.825,2023-03-16
BharatPe,SaaS,DevTools,Pune,"Elevation Capital, Matrix Partners India, Ribbit Capital",Seed,5.364,2021-08-19
Ola,Retail,Grocery,Ahmedabad,"Blume Ventures, IFC",Series A,47.997,2022-07-11
FreshSolutions,RealEstate,Home Services,Mumbai,Accel,Seed,1.683,2022-03-24
FarmBox,FinTech,InsurTech,Noida,Matrix Partners India,Series C,244.809,2020-06-19
HyperLoop,FoodTech,Food Delivery,Gurugram,"Nexus Venture Partners, Ribbit Capital",Seed,5.355,2021-08-04
Lenskart,FinTech,Payments,Pune,"IFC, Mirae Asset",Growth,1776.447,2021-10-28
SkillFlow,HealthTech,Diagnostics,Ahmedabad,"A91 Partners, Falcon Edge, Ribbit Capital",Series A,72.873,2023-07-16
FreshTech,Consumer Electronics,Smart Home,Gurugram,Y Combinator,Series C,736.263,2022-06-23
Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,1.278,2024-07-27
CoreSpace,Media,Content,Kolkata,"Bessemer Venture Partners, Omidyar Network",Seed,3.447,2024-04-17
MediHive,EdTech,Coding Bootcamp,Noida,Kedaara Capital,Series A,41.112,2021-05-26
UrbanDrive,EdTech,UpSkilling,Mumbai,"LCatterton, Ventures India",Pre-Series A,6.777,2021-05-05
SkillFlow,Media,Streaming,Hyderabad,Blume Ventures,Pre-Series A,2.277,2024-10-13
Cars24,E-commerce,Fashion,Ahmedabad,"Mirae Asset, SoftBank Vision Fund",Series A,12.942,2023-12-05
WorkPay_557,Mobility,Ride Sharing,Delhi,Nexus Venture Partners,Bridge,0.504,2021-07-31
Dailyhunt,Media,Social,Gurugram,"Kalaari Capital, Lightspeed India",Seed,7.29,2020-01-31
Chargebee,SaaS,MarTech,Bengaluru,Tiger Global,Seed,4.437,2024-09-23
DriveFit_560,Consumer Electronics,Audio,Gurugram,"Nexus Venture Partners, Zodius Capital",Angel,0.369,2021-05-27
LogiMart,Consumer Electronics,Audio,Bengaluru,Falcon Edge,Seed,0.99,2024-02-14
FarmTech,RealEstate,Home Services,Pune,Ventures India,Seed,0.747,2024-01-31
NeoTech,RealEstate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,0.927,2020-04-16
NeoSense_564,Retail,Grocery,Ahmedabad,Sequoia Capital India,Seed,1.638,2024-06-04
Razorpay,AgriTech,Marketplace,Kolkata,Bessemer Venture Partners,Series B,230.967,2020-11-13
LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,0.144,2024-04-04
AeroStack,EdTech,UpSkilling,Noida,Bessemer Venture Partners,Series C,588.546,2024-03-29
Dailyhunt,Media,Social,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series B,551.988,2022-01-03
Dailyhunt,Mobility,EV,Noida,"Blume Ventures, Y Combinator",Series B,118.179,2021-01-23
InMobi,Logistics,Fleet Management,Noida,Info Edge,Seed,2.997,2022-12-23
CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,1.098,2023-07-30
PhonePe,AgriTech,Smart Farming,Ahmedabad,Prosus Ventures,Seed,1.944,2024-01-16
UrbanDrive,RealEstate,Home Services,Noida,Kalaari Capital,Seed,4.464,2021-08-02
AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,1.314,2025-04-04
GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,1.602,2023-08-07
CloudSolutions_576,EdTech,Test Prep,Bengaluru,"Accel, LCatterton, Mirae Asset",Angel,0.072,2021-03-03
HealthWorks,Media,Content,Pune,"Matrix Partners India, Tiger Global",Series C,2213.217,2020-04-29
Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,2.763,2025-05-21
AeroHub,Mobility,Micro Mobility,Gurugram,A91 Partners,Series A,18.108,2025-04-24
SkillRise,Retail,Fashion,Ahmedabad,"Blume Ventures, IFC, Prosus Ventures",Pre-Series A,2.592,2022-07-28
BlueTech,Mobility,EV,Delhi,"LCatterton, Peak XV",Series A,127.89,2023-05-13
NeoSense,FoodTech,Grocery,Chennai,"A91 Partners, Matrix Partners India",Series C,683.343,2021-10-24
UrbanSolutions,Media,Content,Pune,Sequoia Capital India,Bridge,1.512,2022-07-05
HealthAnalytics,Mobility,Ride Sharing,Hyderabad,IFC,Pre-Seed,0.774,2021-03-30
DataAnalytics,Media,Content,Noida,"Blume Ventures, Sequoia Capital India",Series A,17.244,2023-03-14
Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,1.071,2023-04-07
Delhivery,E-commerce,Grocery,Chennai,"Accel, Mirae Asset, SoftBank Vision Fund",Series A,12.762,2021-03-21
Myntra,Enterprise,Automation,Ahmedabad,"Ribbit Capital, Sequoia Capital India",Series C,254.601,2020-07-14
QuantumAnalytics_589,FinTech,WealthTech,Pune,"Nexus Venture Partners, Peak XV",Growth,671.913,2022-06-08
HomeFoods,Enterprise,Automation,Bengaluru,"Falcon Edge, Tiger Global",Series B,66.123,2023-07-18
FoodLoop,HealthTech,Pharmacy,Noida,Prosus Ventures,Series B,266.013,2020-11-09
DriveFit,Retail,Fashion,Ahmedabad,"Elevation Capital, Kalaari Capital",Series A,14.724,2021-03-30
LogiSense,Consumer Electronics,Smart Home,Bengaluru,Kalaari Capital,Series A,22.95,2021-06-21
DriveEdge,HealthTech,Diagnostics,Kolkata,"Lightspeed India, Ribbit Capital",Series A,102.078,2022-09-26
LogiMart,Logistics,Supply Chain,Pune,Accel,Series B,167.463,2023-03-25
Flipkart,FoodTech,Food Delivery,Pune,"Bessemer Venture Partners, Prosus Ventures",Seed,5.283,2021-12-06
Lenskart,SaaS,MarTech,Ahmedabad,Lightspeed India,Seed,0.846,2020-04-01
NimbusWorks,Media,Social,Mumbai,"IFC, Peak XV",Series B,76.689,2021-05-12
SmartTech_599,Media,Social,Hyderabad,Lightspeed India,Series A,10.053,2020-02-16
Meesho,EdTech,UpSkilling,Noida,Kedaara Capital,Series A,14.22,2024-02-03
PhonePe,FoodTech,Grocery,Noida,Elevation Capital,Pre-Seed,0.342,2020-12-14
SkillFlow_602,RealEstate,PropTech,Mumbai,"IFC, Prosus Ventures",Pre-Series A,1.35,2021-07-09
PhonePe,Logistics,Fleet Management,Chennai,"Accel, Tiger Global Management",Seed,0.621,2022-02-18
HyperLabs,AgriTech,Marketplace,Mumbai,"A91 Partners, Kedaara Capital",Seed,0.702,2022-10-22
Razorpay,EdTech,UpSkilling,Pune,Sequoia Capital India,Series A,31.347,2024-03-04
AgriFit,Logistics,Last Mile,Noida,"Kalaari Capital, Matrix Partners India, Tiger Global Management",Seed,0.963,2020-05-06
ClearTax,Mobility,EV,Gurugram,"Accel, Prosus Ventures",Seed,1.728,2025-01-11
QuantumAnalytics,RealEstate,Rental Tech,Gurugram,Info Edge,Pre-Series A,2.871,2023-03-19
FreshTech,SaaS,MarTech,Noida,Omidyar Network,Seed,5.742,2023-08-29
CloudPay,Logistics,Fleet Management,Noida,Prosus Ventures,Angel,0.054,2022-05-30
NextSense,Mobility,Micro Mobility,Mumbai,Kedaara Capital,Seed,8.586,2024-09-15
FoodLoop,FoodTech,Food Delivery,Hyderabad,"Bessemer Venture Partners, Elevation Capital, Peak XV",Series A,49.284,2025-03-27
AeroStack,FinTech,NeoBank,Ahmedabad,Matrix Partners India,Seed,0.612,2023-03-07
GrowthFlow,Media,Content,Delhi,"Kedaara Capital, Y Combinator",Series A,95.859,2023-05-23
UrbanDrive,HealthTech,Diagnostics,Gurugram,Peak XV,Seed,13.446,2022-04-16
Flipkart,EdTech,K12,Gurugram,"IFC, Mirae Asset",Seed,0.567,2025-03-13
NeoSense,EdTech,Coding Bootcamp,Chennai,"Kalaari Capital, Kedaara Capital, Zodius Capital",Series C,380.979,2023-05-30
GrowthConnect,Consumer Electronics,Wearables,Bengaluru,"Falcon Edge, Tiger Global Management",Growth,3777.66,2021-05-18
Razorpay,Mobility,EV,Noida,Blume Ventures,Series C,1365.507,2025-05-25
Dailyhunt,FoodTech,Food Delivery,Hyderabad,Omidyar Network,Series A,14.832,2022-05-15
Udaan,Media,Streaming,Delhi,"Accel, Falcon Edge",Series A,15.867,2023-08-16
BlueTech,Media,Streaming,Delhi,"Info Edge, Sequoia Capital India",Pre-Series A,2.115,2021-10-24
CloudPay,E-commerce,D2C,Pune,"Bessemer Venture Partners, Kedaara Capital, Nexus Venture Partners",Series B,172.44,2025-01-31
Porter,Media,Content,Pune,"Kedaara Capital, Tiger Global Management",Seed,4.401,2023-12-19
NextSense,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, IFC, Nexus Venture Partners",Angel,0.135,2023-03-04
Udaan,FoodTech,Food Delivery,Hyderabad,"Blume Ventures, Elevation Capital",Series B,162.243,2025-05-22
LogiSense,FinTech,NeoBank,Hyderabad,"A91 Partners, Sequoia Capital India",Pre-Seed,1.008,2022-10-16
NimbusLabs,AgriTech,Marketplace,Kolkata,Omidyar Network,Series A,9.936,2022-06-23
MediHive,Mobility,EV,Ahmedabad,Tiger Global,Series A,17.829,2024-08-06
GreenConnect_630,SaaS,B2B SaaS,Delhi,"Elevation Capital, Zodius Capital",Series D,2325.744,2023-09-28
Unacademy,FinTech,Payments,Chennai,"Elevation Capital, Kedaara Capital, Prosus Ventures",Debt,234.63,2020-11-26
EduTech,Media,Streaming,Pune,SoftBank Vision Fund,Angel,0.207,2020-07-09
QuantumAnalytics,Retail,Grocery,Noida,Nexus Venture Partners,Seed,3.204,2022-08-22
SkillSolutions,FoodTech,Grocery,Gurugram,Accel,Series B,60.57,2023-06-07
Unacademy,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Angel,0.171,2023-12-18
FoodLoop,AgriTech,Marketplace,Pune,"Kedaara Capital, Mirae Asset",Angel,0.225,2023-06-12
Chargebee,Consumer Electronics,Audio,Ahmedabad,Sequoia Capital India,Seed,1.098,2021-08-17
GrowthFlow,Retail,E-Retail,Gurugram,"Tiger Global, Y Combinator",Series C,373.185,2022-04-29
Meesho,FinTech,Lending,Hyderabad,Elevation Capital,Seed,1.809,2020-05-18
AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,0.945,2023-03-11
CloudLabs,SaaS,MarTech,Kolkata,Mirae Asset,Series C,430.596,2023-08-15
LogiRise,Mobility,EV,Kolkata,"A91 Partners, Falcon Edge, Tiger Global",Series C,319.122,2022-04-27
HyperLabs,FinTech,Lending,Ahmedabad,Tiger Global,Series B,111.573,2024-06-25
WorkPay,FinTech,WealthTech,Chennai,A91 Partners,Series A,12.447,2024-09-21
UrbanDrive,E-commerce,D2C,Pune,"Accel, IFC",Series B,531.513,2021-07-10
NimbusWorks,Logistics,Last Mile,Noida,Bessemer Venture Partners,Seed,4.023,2020-08-17
CloudPay,Consumer Electronics,Smart Home,Bengaluru,"Blume Ventures, SoftBank Vision Fund",Series C,1132.29,2025-01-27
AgriHive,Mobility,EV,Pune,Zodius Capital,Seed,8.271,2024-11-20
LogiSense,FinTech,InsurTech,Chennai,Sequoia Capital India,Series B,179.226,2022-12-05
FarmFit,AgriTech,Supply Chain,Pune,Falcon Edge,Series A,11.385,2020-04-04
FreshTech_651,Retail,Grocery,Gurugram,Elevation Capital,Seed,3.267,2021-01-29
FoodLoop,RealEstate,PropTech,Hyderabad,Sequoia Capital India,Seed,3.924,2021-07-14
Zomato,EdTech,UpSkilling,Noida,"A91 Partners, Bessemer Venture Partners, Blume Ventures",Seed,7.038,2020-10-16
FreshTech,SaaS,MarTech,Bengaluru,"Accel, Tiger Global, Y Combinator",Seed,2.214,2022-08-22
DriveFit,AgriTech,Marketplace,Kolkata,Zodius Capital,Series A,12.717,2021-10-01
HealthRise,Retail,Grocery,Ahmedabad,"Info Edge, Mirae Asset, Prosus Ventures",Seed,1.278,2024-07-22
InMobi,Consumer Electronics,Audio,Gurugram,"Matrix Partners India, Y Combinator",Seed,1.719,2025-01-08
BlueTech,RealEstate,Home Services,Pune,Mirae Asset,Series A,51.75,2020-03-02
NextFlow,Enterprise,Analytics,Hyderabad,"Accel, Nexus Venture Partners",Series C,844.425,2023-05-22
AeroStack,RealEstate,PropTech,Hyderabad,"Kalaari Capital, Ribbit Capital",Series A,23.607,2022-03-31
NextSense,FoodTech,Cloud Kitchen,Pune,"Info Edge, Tiger Global Management",Seed,17.127,2023-11-22
DataHive,EdTech,K12,Mumbai,"Accel, Zodius Capital",Series B,241.344,2023-12-28
SmartMart,E-commerce,Fashion,Delhi,Omidyar Network,Seed,1.08,2022-04-11
QuantumAnalytics,RealEstate,Rental Tech,Bengaluru,LCatterton,Seed,0.657,2024-07-31
Rapido,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital",Series A,13.617,2021-08-19
CoreFlow,SaaS,HRTech,Ahmedabad,LCatterton,Series C,350.379,2023-10-23
DriveEdge,SaaS,B2B SaaS,Ahmedabad,IFC,Pre-Seed,0.261,2022-11-11
HealthWorks,Mobility,Ride Sharing,Bengaluru,Accel,Series B,75.483,2024-08-07
HealthAnalytics,EdTech,Coding Bootcamp,Ahmedabad,"A91 Partners, Y Combinator",Pre-Series A,1.737,2021-10-13
NoBroker,Consumer Electronics,Audio,Gurugram,Zodius Capital,Series A,14.391,2024-09-23
HyperLoop,Enterprise,Automation,Delhi,"Kedaara Capital, Mirae Asset, Sequoia Capital India",Seed,12.303,2020-05-26
DriveEdge,HealthTech,Telemedicine,Delhi,"Kedaara Capital, LCatterton",Series B,56.214,2022-05-01
Innovaccer,AgriTech,Supply Chain,Kolkata,"Kalaari Capital, Lightspeed India",Series A,37.251,2023-02-04
Innovaccer,AgriTech,Supply Chain,Ahmedabad,Kedaara Capital,Series A,27.351,2024-02-05
NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,1.728,2020-03-18
AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,1.809,2024-03-17
HealthRise,AgriTech,Supply Chain,Gurugram,"Accel, Peak XV, Ribbit Capital",Series A,26.433,2024-02-27
FreshTech,SaaS,B2B SaaS,Kolkata,"A91 Partners, SoftBank Vision Fund",Series A,124.29,2025-01-29
AgriFit,Retail,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Seed,10.962,2023-11-24
Swiggy,FinTech,InsurTech,Ahmedabad,"Ribbit Capital, Tiger Global Management, Zodius Capital",Seed,9.171,2020-04-15
SmartTech,HealthTech,Telemedicine,Hyderabad,Elevation Capital,Seed,1.161,2023-06-15
CloudSolutions_682,E-commerce,Grocery,Delhi,Prosus Ventures,Angel,0.072,2024-02-22
Nykaa,Retail,E-Retail,Hyderabad,"Blume Ventures, Falcon Edge",Series C,1100.673,2021-04-28
GreenMart,E-commerce,Marketplace,Ahmedabad,"Kalaari Capital, Ventures India",Angel,0.729,2020-11-11
AeroHub,Consumer Electronics,Smart Home,Delhi,Tiger Global,Seed,3.51,2024-02-12
CureFit,Retail,E-Retail,Bengaluru,"Elevation Capital, Ventures India",Seed,3.708,2022-03-27
PharmEasy,FoodTech,Grocery,Chennai,"IFC, Sequoia Capital India",Series A,19.206,2020-10-24
EduMart,SaaS,B2B SaaS,Mumbai,Peak XV,Angel,0.45,2023-07-29
Paytm,AgriTech,Marketplace,Hyderabad,Matrix Partners India,Seed,0.9,2021-06-30
DriveFit,RealEstate,Rental Tech,Gurugram,Falcon Edge,Series B,110.394,2023-04-20
BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,0.477,2020-07-19
HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,0.576,2020-07-07
GreenEdge,RealEstate,PropTech,Mumbai,Y Combinator,Seed,1.098,2023-05-23
DataEdge,Media,Social,Hyderabad,Ribbit Capital,Seed,0.684,2023-09-14
SkillSolutions,Media,Streaming,Pune,Elevation Capital,Seed,4.284,2024-05-17
HealthWorks,SaaS,B2B SaaS,Hyderabad,Info Edge,Bridge,1.305,2021-06-26
NeoLabs,EdTech,Coding Bootcamp,Delhi,A91 Partners,Series B,225.468,2020-08-10
Paytm,EdTech,Test Prep,Kolkata,Tiger Global,Series B,69.039,2020-07-30
AutoStack,FinTech,InsurTech,Delhi,Prosus Ventures,Series B,170.829,2020-01-02
NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,0.612,2023-12-20
CRED,Mobility,Ride Sharing,Bengaluru,"Falcon Edge, Nexus Venture Partners",Pre-Series A,1.017,2023-11-12
Licious,SaaS,HRTech,Chennai,"Accel, Falcon Edge, Peak XV",Seed,1.557,2025-05-17
HealthRise,Retail,Grocery,Gurugram,"Elevation Capital, Prosus Ventures",Seed,0.738,2020-03-21
UrbanDrive,RealEstate,Rental Tech,Pune,"Blume Ventures, Info Edge, Sequoia Capital India",Series A,10.683,2024-12-17
GrowthFlow,AgriTech,Supply Chain,Kolkata,"Mirae Asset, Ribbit Capital",Pre-Series A,8.793,2024-06-11
EduBox,FinTech,Payments,Pune,"Bessemer Venture Partners, Nexus Venture Partners, Tiger Global",Seed,1.476,2024-06-01
LogiRise,Enterprise,Automation,Delhi,Sequoia Capital India,Series B,425.007,2021-04-22
SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,0.324,2023-12-07
BigBasket,Enterprise,Analytics,Kolkata,"Tiger Global, Zodius Capital",Series A,56.988,2024-09-06
Porter,Consumer Electronics,Smart Home,Ahmedabad,Info Edge,Seed,7.434,2024-07-05
FoodFit,RealEstate,Rental Tech,Noida,Ventures India,Seed,4.05,2024-09-09
NoBroker,SaaS,B2B SaaS,Mumbai,"Blume Ventures, Y Combinator",Seed,2.565,2024-03-31
Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,0.468,2020-07-23
Myntra,E-commerce,Quick Commerce,Bengaluru,"Kalaari Capital, LCatterton, Ribbit Capital",Seed,1.629,2020-07-01
FarmBox,EdTech,K12,Hyderabad,Peak XV,Series A,111.546,2022-04-23
GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,9.639,2023-07-08
MediHive,EdTech,Test Prep,Noida,IFC,Bridge,15.822,2023-06-21
ClearDekho,EdTech,Coding Bootcamp,Gurugram,Bessemer Venture Partners,Seed,0.711,2021-01-31
FarmBox,HealthTech,Telemedicine,Bengaluru,Info Edge,Series B,341.397,2021-08-06
WorkStack,Retail,Grocery,Bengaluru,"Bessemer Venture Partners, Blume Ventures",Seed,14.337,2020-04-17
Myntra,Mobility,Ride Sharing,Mumbai,"Omidyar Network, SoftBank Vision Fund",Angel,0.081,2024-01-17
BlueRise,SaaS,DevTools,Mumbai,Ventures India,Seed,0.576,2020-07-19
CloudPay,EdTech,Test Prep,Kolkata,"Nexus Venture Partners, Peak XV",Series A,66.969,2020-04-21
AutoFlow,SaaS,DevTools,Kolkata,Tiger Global Management,Series B,221.283,2023-07-18
CloudPay,FinTech,NeoBank,Bengaluru,"Blume Ventures, Info Edge",Seed,10.044,2020-08-15
DataHive,Logistics,Fleet Management,Delhi,"LCatterton, Omidyar Network",Series C,262.818,2023-07-30
HomeFoods,Enterprise,Automation,Kolkata,Mirae Asset,Growth,3670.209,2021-03-19
UrbanStack,Media,Social,Gurugram,LCatterton,Seed,0.945,2023-04-01
WorkPay,FinTech,InsurTech,Bengaluru,"Falcon Edge, Sequoia Capital India, Ventures India",Pre-Seed,0.261,2022-08-21
GrowthCare,Media,Social,Kolkata,"Kedaara Capital, Ventures India",Series A,14.04,2020-06-19
Freshworks,EdTech,K12,Pune,Sequoia Capital India,Seed,9.081,2023-08-19
BigBasket,HealthTech,Health Analytics,Ahmedabad,"Mirae Asset, Nexus Venture Partners",Series B,284.571,2020-02-19
CoreConnect,Enterprise,Security,Kolkata,"LCatterton, SoftBank Vision Fund, Tiger Global",Series B,191.889,2020-01-03
GreenMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,23.787,2024-06-15
HealthRise,SaaS,B2B SaaS,Noida,LCatterton,Bridge,11.439,2023-10-13
FreshToHome,FoodTech,Food Delivery,Kolkata,Blume Ventures,Series A,26.046,2022-01-18
CRED,Mobility,Micro Mobility,Gurugram,A91 Partners,Seed,9.153,2021-11-16
GrowthCare,Retail,Fashion,Gurugram,SoftBank Vision Fund,Series C,591.201,2024-04-07
NextStack,FoodTech,Food Delivery,Bengaluru,"Falcon Edge, Mirae Asset",Seed,1.809,2021-12-08
NeoTech,Mobility,Micro Mobility,Noida,"Prosus Ventures, Y Combinator",Angel,0.18,2022-07-14
Byju's,EdTech,Coding Bootcamp,Mumbai,Elevation Capital,Seed,1.368,2025-01-12
Dunzo,E-commerce,Marketplace,Hyderabad,"Lightspeed India, Nexus Venture Partners",Seed,7.092,2020-10-30
DataAnalytics,RealEstate,Rental Tech,Delhi,"Sequoia Capital India, Ventures India",Series A,35.118,2022-05-10
FinFoods_744,Enterprise,Analytics,Noida,"Ribbit Capital, SoftBank Vision Fund",Series B,85.671,2022-04-23
NeoSense,RealEstate,Rental Tech,Noida,"Elevation Capital, Nexus Venture Partners",Series D,3570.975,2022-06-30
BigBasket,HealthTech,Pharmacy,Gurugram,Bessemer Venture Partners,Series A,25.452,2025-06-11
Postman,HealthTech,Pharmacy,Hyderabad,"Kedaara Capital, Peak XV",Series A,39.222,2020-12-06
SmartTech,HealthTech,Diagnostics,Delhi,A91 Partners,Seed,12.744,2020-03-25
Dailyhunt,Logistics,Supply Chain,Delhi,Prosus Ventures,Seed,4.5,2023-12-19
FoodSolutions,Consumer Electronics,Smart Home,Delhi,Kalaari Capital,Series A,12.348,2020-09-05
Chargebee,Retail,E-Retail,Kolkata,Tiger Global Management,Angel,0.756,2020-11-15
ClearDekho,SaaS,HRTech,Kolkata,"Bessemer Venture Partners, Prosus Ventures",Angel,0.297,2025-06-08
Ola,SaaS,B2B SaaS,Kolkata,"A91 Partners, Kalaari Capital, SoftBank Vision Fund",Angel,0.126,2020-10-12
HomeAnalytics,E-commerce,D2C,Bengaluru,"Bessemer Venture Partners, Falcon Edge",Series A,13.122,2021-02-03
QuantumSolutions,E-commerce,Grocery,Kolkata,Tiger Global Management,Series B,406.737,2025-05-15
DriveFit,SaaS,B2B SaaS,Pune,Y Combinator,Pre-Series A,3.753,2024-01-06
HealthAnalytics,Logistics,Supply Chain,Noida,"Kalaari Capital, Ventures India",Seed,3.222,2024-01-30
Ola,Logistics,Last Mile,Chennai,Zodius Capital,Series B,536.499,2022-04-28
Unacademy,HealthTech,Diagnostics,Hyderabad,"Tiger Global, Tiger Global Management",Series A,76.158,2024-11-11
UrbanSolutions,FoodTech,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Pre-Series A,1.278,2023-02-12
FinSense,Enterprise,Security,Hyderabad,Zodius Capital,Series A,20.934,2020-03-27
Oyo,Consumer Electronics,Smart Home,Kolkata,Blume Ventures,Seed,1.125,2024-06-08
Delhivery,RealEstate,Rental Tech,Kolkata,Kalaari Capital,Seed,7.002,2023-09-25
NeoLabs,RealEstate,PropTech,Bengaluru,"Tiger Global, Tiger Global Management",Seed,0.513,2021-07-21
ShareChat,AgriTech,Smart Farming,Ahmedabad,"Prosus Ventures, Tiger Global Management, Zodius Capital",Series A,42.12,2021-06-12
NimbusWorks,AgriTech,Supply Chain,Hyderabad,SoftBank Vision Fund,Seed,7.497,2020-04-29
HyperSpace,FinTech,WealthTech,Pune,Tiger Global,Pre-Series A,6.777,2025-02-10
Cars24,Mobility,Micro Mobility,Mumbai,"Accel, Blume Ventures, Ventures India",Series A,22.725,2024-04-18
AgriSense,Enterprise,Automation,Hyderabad,"Falcon Edge, Y Combinator",Seed,9.306,2023-11-30
SmartCare_770,Mobility,EV,Pune,LCatterton,Series C,242.874,2022-04-23
BharatPe,E-commerce,Marketplace,Delhi,Bessemer Venture Partners,Series A,89.073,2024-08-30
Porter,FoodTech,Food Delivery,Mumbai,Mirae Asset,Seed,0.72,2020-09-25
FreshTech,HealthTech,Health Analytics,Ahmedabad,Blume Ventures,Series A,26.397,2025-06-09
Oyo,FinTech,Payments,Gurugram,Prosus Ventures,Seed,8.523,2023-11-22
BigBasket,HealthTech,Diagnostics,Delhi,"Accel, Sequoia Capital India, Ventures India",Debt,2.286,2022-05-20
AgriHive,FinTech,Lending,Mumbai,"Mirae Asset, Omidyar Network",Pre-Seed,0.306,2023-09-13
AutoStack_777,Logistics,Fleet Management,Bengaluru,LCatterton,Series C,1272.645,2024-05-21
CoreFlow,EdTech,K12,Pune,"Peak XV, Y Combinator",Pre-Seed,0.945,2020-10-25
BharatPe,Enterprise,Automation,Ahmedabad,Accel,Seed,4.788,2023-03-13
UrbanStack,Media,Social,Hyderabad,"Kedaara Capital, Sequoia Capital India",Seed,5.823,2024-03-24
Meesho,Mobility,Micro Mobility,Kolkata,Info Edge,Pre-Series A,3.141,2023-04-22
AeroStack,SaaS,MarTech,Chennai,"Accel, Tiger Global Management",Seed,1.143,2021-04-11
NeoTech,Mobility,Ride Sharing,Kolkata,A91 Partners,Series C,459.036,2023-12-14
Razorpay,E-commerce,D2C,Kolkata,"Omidyar Network, SoftBank Vision Fund",Seed,0.882,2021-08-03
Ola,EdTech,Coding Bootcamp,Hyderabad,IFC,Debt,254.754,2022-05-26
FarmBox,SaaS,DevTools,Bengaluru,"Accel, Info Edge, Prosus Ventures",Debt,33.795,2022-10-03
WorkFit,FoodTech,Food Delivery,Ahmedabad,Tiger Global,Bridge,1.971,2024-02-27
BlueRise,AgriTech,Smart Farming,Mumbai,"Mirae Asset, Ventures India",Seed,2.475,2022-05-19
SkillFlow,Retail,Fashion,Chennai,"Peak XV, Tiger Global Management",Pre-Series A,7.974,2023-09-27
QuantumSolutions,Consumer Electronics,Audio,Mumbai,Ribbit Capital,Seed,0.792,2022-10-15
HyperSpace_791,Media,Social,Mumbai,Y Combinator,Series A,44.028,2020-02-24
